id,face_detected_ratio,gaze_ratio_mean,gaze_deviation_mean,gaze_stability_std,smile_score_mean,smile_score_std,frown_score_mean,frown_score_std,eye_openness_mean,eye_openness_std,jaw_open_mean,jaw_open_std,brow_raise_mean,brow_raise_std,mouth_frown_mean,mouth_frown_std,emotion_happy_mean,emotion_sad_mean,emotion_angry_mean,emotion_surprise_mean,emotion_fear_mean,emotion_disgust_mean,emotion_neutral_mean
0051,1.0,0.5352327825024803,0.03554637468449999,0.01136242625855627,0.0015878849460793593,0.0026323587395107933,0.014866551600991644,0.007270749925824385,0.9451986057554476,0.06736599384634331,0.03435001149773598,0.06500903512895581,0.18137863837182522,0.0603208755953901,0.0011916273668804126,0.0015516627091932715,0.0015411869325200342,0.024696137471422238,0.008740457401401374,0.08980253500825104,0.024291296346938097,0.005406809464347459,0.8455215773751197
0052,1.0,0.5643639178403029,0.06436391784030285,0.007106173071343134,0.03172779086453374,0.06660278195166844,0.08196916371598491,0.0745067439801098,0.8632648429833353,0.08068651666162291,0.016828525997698306,0.02378886187186011,0.0849107301561162,0.09804744170825036,2.9423285624829987e-05,6.972659244857364e-05,0.031552935909773996,0.011775263486745758,0.049342207759634174,0.04095139264711179,0.010823063780817392,0.016819532470012676,0.8387356039459043
0053,1.0,0.5308474333961261,0.03084743339612605,0.011981736039375674,0.0009117809773897534,0.0017930471936737778,0.00021475612311405712,0.0001177193165085968,0.7846566610969603,0.11704741983875426,0.07646759596536867,0.07351630067528922,0.6440713815391064,0.07449177101607812,0.003559232503945964,0.004204426364477117,0.0008932649874609404,0.2922878184224402,0.007575068568238709,0.2832327656475172,0.21656761800799132,0.00223203121584592,0.19721143315050566
0054,1.0,0.5188057911159262,0.01939252296805229,0.01448277665520604,6.608452326872793e-05,7.48256155830656e-05,0.002836107353990277,0.0014839447747763959,0.9106222080687681,0.013454824713982155,0.002739235137899717,0.0005935060848550774,0.2443464919924736,0.06012962703704865,0.0026146075106225908,0.0023144292573122316,6.604267526105831e-05,0.12707420950294668,0.0018408909985100288,0.10115079022943974,0.09799437919815925,0.0009593228415167706,0.6709143645541665
0055,1.0,0.543595292434198,0.0457570960308257,0.023627169301282707,0.003510614929912966,0.010164386792607389,9.7731783499613e-05,5.916773500873666e-05,0.8717708901191751,0.19802149708692082,0.08202852391534382,0.059324119482559404,0.6897867851787143,0.0770173963635092,0.00013057648071581853,0.0001358373406250789,0.0034863703297183693,0.27788107910498394,0.002589389567075647,0.3060139254129252,0.2095592620574381,0.004910586525379893,0.1955593870024789
0056,1.0,0.5432569495725056,0.045194435682483824,0.020818280690810268,0.019603822816160726,0.036369795664476914,0.0034599275992756398,0.002087875758444593,0.8282275297679007,0.18969836654126765,0.11469994371873327,0.10708572970112884,0.3868592440461119,0.08240880869283258,3.97349986111332e-05,8.719027881662812e-05,0.018359840736888667,0.022376244553426256,0.0067162896728571115,0.19126847766713884,0.01474938150752602,0.01481074622390984,0.7317190196382533
0057,1.0,0.527404153437994,0.028239405631744225,0.017080665948997386,0.05628983273619956,0.07920053469090413,0.021362355008278155,0.027711088763823284,0.8936436899218774,0.08930864590687555,0.02396364167042632,0.039739192151502435,0.2118054609745741,0.08112198983644532,7.655286450476963e-05,0.00014991336646459307,0.05554592368196998,0.03846468464262471,0.014742182924763864,0.09659250325609099,0.011714050995846933,0.02931223794860027,0.7536284165501033
0058,1.0,0.5248100015928586,0.024810001592858667,0.010252074551243771,0.07649545508067367,0.15145890435772225,7.520605318543106e-05,3.2482288362325824e-05,0.8610746818392173,0.14715408944912484,0.01875777864757844,0.024595185723166726,0.7472149172554845,0.05545220042379203,0.003647467279971233,0.007599145986987038,0.05654682598023816,0.3122806884886878,0.0057185246768167875,0.29194943767144155,0.2335601845641108,0.023525370250197693,0.07641896836850721
0059,1.0,0.5460851815379475,0.051098831948646076,0.023594365861750823,0.08776346655758971,0.08939505773657301,0.00793876142802219,0.005041698829218534,0.9036292442906415,0.1539571878638396,0.07554304019504343,0.0628394570652182,0.19759530940791592,0.07291005289626531,0.00048340755051867745,0.0010779160525846527,0.08544624040669765,0.05907133204525508,0.011913173244492549,0.10634477196240369,0.034179316114204994,0.0386873640219763,0.6643578022049698
0060,1.0,0.5143922057979784,0.017157745920900996,0.013243644416310494,0.13773954623378815,0.10303380183475838,0.00118370094045531,0.0007152984872714317,0.8231524130143225,0.1499536514257801,0.039325131524237805,0.039718755999357674,0.3421075922995806,0.08195495189358984,0.0011538272864163445,0.0032906436749104394,0.13552166725829015,0.15355278541599912,0.008801365641198133,0.15124874750623712,0.09946877410053276,0.028057215962184145,0.4233494441155585
