id,face_detected_ratio,gaze_ratio_mean,gaze_deviation_mean,gaze_stability_std,smile_score_mean,smile_score_std,frown_score_mean,frown_score_std,eye_openness_mean,eye_openness_std,jaw_open_mean,jaw_open_std,brow_raise_mean,brow_raise_std,mouth_frown_mean,mouth_frown_std,emotion_happy_mean,emotion_sad_mean,emotion_angry_mean,emotion_surprise_mean,emotion_fear_mean,emotion_disgust_mean,emotion_neutral_mean,face_width_mean,face_height_mean,face_area_mean,face_center_x_mean,face_center_y_mean,EAR_mean,EAR_std,head_motion_std,pitch_mean,pitch_std,yaw_mean,yaw_std,roll_mean,roll_std
21,1.0,0.5555757692795017,0.0564714830181816,0.0163748012253386,0.0016925652195433,0.0013820147660642,0.1009673356344657,0.0416747702551787,0.8400975422667606,0.1154033461417905,0.0022611474460323,0.0044722261794631,0.041545897323106,0.0222017477532456,9.127148707323484e-05,0.0001258283743284,0.0016908736365065,0.0025759723424601,0.0521946546253203,0.0195100516614287,0.0041418056468059,0.0258115589240326,0.8940750831634455,141.66717856270927,157.4630948475429,22308.96695007186,317.38904081072127,312.2801936694554,0.3313941100656096,0.0639954934199209,2.8574485638341125,-0.386280222000227,1.4465386329604235,-1.5236084324048678,2.019633762685528,-3.80031067385791,1.154573474566409
22,1.0,0.5145641998314798,0.0195369969029356,0.017750768895489,0.0128986638781972,0.0299540966636089,0.0001437115565847,6.289840946753852e-05,0.9604743574983792,0.0905100386029013,0.0514254127521135,0.0755237422292523,0.7225832173260309,0.0506876593770631,0.0116168641690174,0.031179855302699,0.0121098714932065,0.2112727287139037,0.0026609349245819,0.3174190965361121,0.1582513872753532,0.0556353388683696,0.2426506421884726,127.02443789410334,155.52689629216349,19763.633114309825,332.0388673966931,290.6274384067905,0.4573190674973734,0.0616533505859803,2.434267108526053,-9.54160556667263,3.140548745866423,3.4271224774414417,2.1179814920377718,1.3574418869230498,1.440404807676922
23,1.0,0.5257843157829217,0.0283727460016972,0.0164183822296364,0.3244059521874243,0.2027571277752745,0.001112999890624,0.000990929003215,0.7695499763993378,0.1225606650620628,0.015666561606684,0.0309967117604072,0.4275844737210057,0.0610871353452001,0.0007149030007605,0.0010100365571286,0.3129498973841325,0.1268055188294718,0.0021671137113312,0.1746675496449837,0.1073263951120998,0.0138952052319808,0.2621883200859999,218.4035769375888,263.20740483023906,57623.11909251574,341.4937903664329,219.76004362106323,0.3229016413213224,0.069895997237552,8.468494770288395,1.1190733120381096,3.421769686421964,-6.930840015018709,2.347248958089641,5.077162522063137,1.5634515238869773
24,1.0,0.5578412099784638,0.0578412099784637,0.0040989008533883,0.007828641993304,0.0038381023853177,0.1376954695830742,0.0883938749393768,0.9834106946364044,0.0036749778613178,0.0444047177831331,0.0196542957810252,0.0185751204844564,0.0159550919312832,0.0003456802781632,0.0002169858442571,0.0077019002756321,0.0847522218852342,0.0755442169182098,0.0286466650199145,0.0740296670575238,0.0292453198306513,0.700080009012834,81.84267679850261,100.0217056274414,8185.074897426239,370.9513854980469,322.32288360595703,0.4753148706445371,0.0097857878620802,3.267715931127268,4.732112559217715,1.675360046140319,-3.4295629345432666,2.032591339475159,-0.3250709628948754,4.28054476738329
25,1.0,0.5403028628034412,0.0403028628034411,0.017019272155623,0.0002953240796941,0.0004522269992037,0.0359310193871351,0.020761464602638,0.9641643822542392,0.0619653033846302,0.0618337120589179,0.0872785976287567,0.0657083282324795,0.0894992157556725,0.0001802817328571,0.0002999214485093,0.0002916288943646,0.0924862677004644,0.0226289678397925,0.0514118293297845,0.0780227479262938,0.0071978551126906,0.7479607031966093,183.71902227401733,219.0575522184372,40246.82955214466,381.6713726520538,276.25232487916946,0.4535012822062347,0.0475152975585676,13.830728062307893,8.807828836497377,3.097240308876208,-0.6440064011026484,3.1670831478447967,2.646195586504809,8.923470915463916
26,1.0,0.5339524908607944,0.0352612093463739,0.0147155788631045,0.0248101839256147,0.1158287232281445,0.000370674370492,0.0003563495894795,0.9197197162222622,0.1006024159649414,0.193105534442219,0.1786123557190113,0.5431288418880964,0.1044762725292809,0.0004730397768979,0.0031424738473973,0.0186982553235107,0.2136706129695268,0.001689612749234,0.2815114160591316,0.1574102490088039,0.0090754260287549,0.3179444278610378,116.48143121751689,137.34889062784487,16025.573245285495,345.3539344011727,309.81220722198486,0.4107793860638091,0.0640968552246859,5.283105710827485,-2.1156494192236903,3.994771382720701,-3.063215234708236,1.5677670218509572,-1.1365604654299364,3.567982595296763
27,1.0,0.4980134400624178,0.0172248141999897,0.02056282644769,0.0011964997254587,0.0023798166970312,0.0015161094410524,0.0027781116495882,0.6101309915327213,0.1345664758705269,0.0181245192356238,0.0593495074062787,0.4367019093172116,0.0938603709247255,0.0003104384310197,0.0005330019661296,0.0011890984175261,0.0989693443071533,0.0077249214793079,0.1807362839594266,0.0749680258765792,0.0020256703718322,0.6343866555881745,217.4025625749068,263.2985713265159,57262.70048223869,336.2259405309504,318.7633263848045,0.2270511341861317,0.0749332373234694,4.591514848760422,-8.686561685494912,2.2218987895295816,-5.474296643438795,1.360510822357423,0.8495199520004967,1.549164548383748
28,1.0,0.5277681595789672,0.0277681595789671,0.0115369253791168,0.2089981358488633,0.2035943002379318,0.0029907280683498,0.0023405924897166,0.8058398949603239,0.0831519720940632,0.0387753978914891,0.0411662223819195,0.1883597569540143,0.0702655642487336,3.649725897266384e-05,9.028880352957964e-05,0.2067961890588565,0.1302893925132049,0.0093824748803429,0.0883739381293707,0.0861652374033534,0.0500989505015442,0.428893817513327,177.62444019317627,214.73241329193115,38189.69663783644,331.0233759880066,237.9203414916992,0.3536507395366821,0.045475310374307,13.739921815074473,-6.2990743370998965,2.918455002849014,1.2147837725583284,1.670952836285,-0.6526657352490827,5.300000723390536
29,1.0,0.5767855220331005,0.0767855220331005,0.0072544830765888,0.0248715570457231,0.0327576539296113,0.0719036743976175,0.0380172999400143,0.9352930982907612,0.0288570166320734,0.0175971133867278,0.0100173903196016,0.0839602861863871,0.0253687720770329,0.0013903322227027,0.0014994478845019,0.024724953580156,0.0431796973508122,0.0378176510564164,0.0439625899676078,0.0153213417092047,0.0266520107469839,0.8083417555888187,179.70184803009033,208.176748752594,37413.83099196046,270.32070875167847,161.51368260383606,0.3634052332178981,0.017347006597115,4.900197591026799,2.245361802022001,1.5544772546204586,-7.362913496982261,1.522839025882827,0.3581767504444732,0.8719666634750936
30,1.0,0.5619611084621109,0.0690845673387175,0.0434236753673181,0.0204199497899735,0.0398431190413919,0.032321420045603,0.029341554151933,0.7103989231952671,0.2324721083724505,0.1239624134643729,0.1127247085250873,0.1536988878969924,0.0901969750098583,6.921231444251181e-05,8.708481222825309e-05,0.0189608405735862,0.0190221434829705,0.0228061048355931,0.099825246826472,0.0137611207847855,0.007631272681753,0.8179932708148394,187.695060988604,239.6615628064689,45068.273222308606,318.77723144272625,309.40782684390825,0.2513845389385759,0.1313450482589869,10.16845858350696,1.7591290043425307,4.148938220016063,-6.633420158602539,3.032871354199999,-3.1535387401697115,4.352298793437865
