id,face_width_mean,face_height_mean,face_area_mean,face_center_x_mean,face_center_y_mean,EAR_mean,EAR_std,head_motion_std,pitch_mean,pitch_std,yaw_mean,yaw_std,roll_mean,roll_std
1167,172.60628128051758,213.11253476142883,36820.56261701409,342.1365556716919,231.59593856334686,0.3794030354474618,0.10634940003668016,5.645629055909604,2.3670367290649805,3.7262270630059553,1.5059214130043634,3.050217191444567,0.971341652815642,1.6672436010057814
1168,178.88622460541902,215.9283471107483,38630.12400965331,357.43960468857375,290.8235039975908,0.45898115444404924,0.026478374611724084,9.570429922250788,6.370701110927575,3.352445269412909,1.8995975198551458,4.199019442704464,10.810045058589523,7.7028145611317465
1169,217.27286423577203,261.21762530008954,56787.75131190113,277.62242730458576,251.8917760848999,0.3130021714109187,0.08371571403059767,14.11597991494448,8.185546677356006,2.9152101105069512,3.6815786423264694,1.8734729120951736,-1.9807286746409782,1.3977154946726582
1170,142.40338643391928,167.57019519805908,23871.2762016125,327.25383281707764,386.84948205947876,0.3813265971835647,0.12109401447538405,5.930532277251162,16.626573478919624,2.665735027574161,6.102326080872065,1.2115066232408838,-1.432372549344164,1.3584781071298802
1171,169.79803549276815,185.25259030831828,32042.73119268626,389.9821750537769,302.1176675203684,0.24262503524627385,0.10481922178619087,9.37230840911628,-17.613665580203484,6.067588505749021,-2.8763433090470922,4.71877633340018,-3.361530024670107,4.52077318570993
1172,147.2295434134347,170.44652325766427,25096.04899900231,308.556695665632,265.3935721942357,0.34491406127371793,0.07607136173907886,9.983236001416055,-9.188387983432056,2.3697683203169926,-1.9703240705324727,1.818759772636034,2.466048984526189,6.687389655544591
1173,157.34368562698364,183.36250841617584,28876.738363196546,338.6094272136688,306.94781988859177,0.3521632295942411,0.07760715312989816,8.106712609149781,-7.502959144307917,2.831016798582851,2.03771279444364,2.4192940237012763,-5.914282948800782,2.3344275419073486
1174,81.60066946958884,93.485992871798,7629.409564348427,402.88712672698193,317.7941949550922,0.403227417152576,0.08260855822829717,3.7043710222126998,-1.46784058191586,4.2880506166422965,0.7312889017492188,8.462057639348606,2.171113535307417,3.7235721438011646
1175,157.78248672485353,195.19130630493163,30836.056145116294,371.62667045593264,251.05013465881348,0.4015941945611138,0.024376456042733072,3.994064835736584,-7.184613934197924,4.6312173713022995,-0.8338545564602329,2.0714977745460383,0.8915689807784938,1.4425056549405517
1176,82.13848876953125,102.39633750915527,8410.762286405734,378.934326171875,323.0978994369507,0.3677052812519623,0.11807338685872998,2.1040288742544226,4.3215230420902895,1.2806991796469729,-8.082880703802715,1.2087903945946203,6.209861521162068,2.239655078610172
1177,92.13725036045291,112.88022941013553,10420.63905368923,322.7994764076089,344.7252038739762,0.39418057726072764,0.06998403936911277,4.346012805861268,1.5438974315485867,3.8876391278243116,-4.218785431063738,2.3651330270188993,-0.9693296600283821,1.76465843228329
1178,197.4648766768606,246.55025181017425,48703.27531497392,356.86144778603,271.58842337758915,0.35963065696341606,0.08203059034884509,15.07664139954374,5.060439953470623,3.2293268993817392,-4.98161636942669,2.9064099019441705,-0.5655803069095714,3.325651630022338
1179,115.19754409790039,134.72851037979126,15531.340219278332,321.3535499572754,323.9773678779602,0.3826029170791104,0.09385413086894266,2.9394558748193598,-0.2969041807516637,2.9833850141120304,-3.849853362743506,1.5791047583183573,-0.42448784857359656,2.1055306280806065
1180,182.40554089816112,153.190683508819,28014.579520642827,350.68092634093085,254.00629088563738,0.20242244528703376,0.06404229645115783,30.220143032139518,-1.013880252188373,7.590113699825121,-0.10480776183197842,4.12784977170307,3.896633267868845,4.041950786795548
1181,218.47703204435462,262.9183518185335,57522.45221979211,365.88989341960234,323.042347501306,0.27229204746924407,0.07081496130041619,8.914189489679103,-10.179455395336108,3.605631964289622,-5.802049699735159,2.786523830011286,1.1089589182238029,2.812261892767262
1182,154.59570362882795,191.11956110540427,29564.12814399751,355.5977574834284,300.84879047465773,0.41170673735468377,0.10483325639666334,8.685626642238635,-1.1639536671326522,2.6539192924228026,-2.0929417889486266,1.5050327410339215,-0.13163696886273438,2.267348151402409
1183,189.85218048095703,242.72797107696533,46082.43457268054,370.004940032959,258.2079863548279,0.3120255010523615,0.0,,-6.382048264385317,0.0,2.355089776257048,0.0,-0.732292666305277,0.0
1184,199.768033557468,232.4323829015096,46462.50216867699,277.6437754101223,167.59323835372925,0.38058984424361164,0.018572432973145883,15.394941746925545,4.375323605425952,4.55169367626432,1.3460063492018817,5.5064153411402215,-0.7243933391153949,3.0717432322754243
1185,133.41263319316664,154.88182343934713,20692.049293015218,297.3935774752968,186.06634052176224,0.36566368892627,0.06731938591464734,10.108073425745445,-11.176671540542236,5.687459839879586,-14.895685314860943,3.2168612007210093,5.5234520956776745,4.873920786505631
